Chocolate Sundae on a Saturday Night,"Day, Doris",
Choices,"Jones, George",
Choose Life,PF Project,
Chords of Fame,"Ochs, Phil",
Christ for President,"Bragg, Billy & Wilco",
Christchurch Bells,Hothouse Flowers,
Christina the Astonishing,"Cave, Nick",
Christmas (Baby Please Come Home),"Love, Darlene",
Christmas in Cape Town,"Newman, Randy",
Christmas Song,Joy Zipper,
Christmas Wrapping,Waitresses,
Chuck E's in Love,"Jones, Rickie Lee",
Cienfuegos Tiene Su Guaguanc¢,"Ferrer, Ibrahim",
Cigarettes and Chocolate Milk,"Wainwright, Rufus",
Cigarettes and Coffee,"Redding, Otis",
Cinematic Soul,"Adamson, Barry",
Cinnamon Girl,"Young, Neil",
Circle,"Davis, Miles",
Circle of Heartbreak,"Wright, Betty",
Circles,Psychonauts,
Circles,Fleur de Lys,
Circling,Four Tet,
Circus '68 '69,"Haden, Charlie",
Circus of Heaven,Yes,
Cirrus Minor,Pink Floyd,
City Too Hot,"Perry, Lee ""Scratch""",
"Clam, Crab, Cockle, Cowrie","Newsom, Joanna",
Clandestino,"Chao, Manu",
Clapping Music,"Reich, Steve",
Clara,"Walker, Scott",
Clarks,Vybz Kartel ft Popcaan and Gaza Slim,
Clea Caught a Rabbit,"Briggs, Anne",
Cleaning Out the Rooms,British Sea Power,
Cleaning Windows,"Morrison, Van",
Click Go the Shears,"Long, Lionel",
Climbing to the Moon (Jon Brion Remix),Eels,
Clint Eastwood,Gorillaz,
Close the Coalhouse Door,Unthanks,
Closedown,Cock Sparrer,
Closing Time,Semisonic,
Cloud Nine,Temptations,
Cloud Song,United States of America,
Cloudbusting,"Bush, Kate",
Clouds Across the Moon,"RAH Band, The",
Club Lonely,Lil' Louis,
Coal Miner's Daughter,"Lynn, Loretta",
Coal Miner's Daughter,"Lynn, Loretta",
Coat of Many Colors,"Parton, Dolly",
Cocaine,"Cale, JJ",
Cockney Translation,Smiley Culture,
Coconut,Nilsson,
Coconut,"Nilsson, Harry",
Code Monkey,"Coulton, Jonathan",
Cody,Mogwai,
Coffee & TV,Blur,
Coffee Girl,22-Pistepirkko,
Cold,Cure,
Cold Bear,Gaturs,
Cold Cold Heart,"Williams, Hank",
Cold Discovery,Smog,
Collarbone,Fujiya and Miyagi,
Colonise the Moon,Super Furry Animals,
Colors,Ice-T,
Come and Buy My Toys,"Bowie, David",
Come Dancing,Kinks,
Come Fly With Me,"Sinatra, Frank",
Come Go With Me,Del-Vikings,
Come Healing,"Cohen, Leonard",
Come Into My Parlour,Bleechers,
Come Monkey With Me,"Washington, Gino & the Rochelles with the Atlantics",
Come Rise With Me,"Montano, Machel & Claudette Peters",
Come Saturday,Pains of Being Pure at Heart,
Come to Daddy,Aphex Twin,
Come to Jesus,"Smith, Mindy",
Come Up With Your Hands Out,Alice Donut,
Comedy Tragedy History,Akala,
Comfortably Numb,Pink Floyd,
Comic Strip,"Gainsbourg, Serge",
Comin' Home Baby,Torme. Mel,
Comin' Thru,Chali 2na,
Coming Up,"McCartney, Paul",
Coming With Crosses,"Taylor, Otis",
C¢mo pasa la vida,"M†rquez, Roc°o",
Complainte pour Ste-Catherine,"McGarrigle, Kate and Anna",
Complete Control,Clash,
Complete Control,Woodbine,
Con le Mie Lacrime (As Tears Go By),Rolling Stones,
"Concerning the UFO Sighting Near Highland, Ohio","Stevens, Sulfjan",
Conehead,"Zappa, Frank",
Confetti,Lemonheads,
Confusion,Silver Apples,
Congoleo,"Kidjo, Angelique",
Congoman,Congos,
Constellation of the Heart,"Bush, Kate",
Contigo en la Distancia,"Martin, Mayte and Tete Montoliu",
Contort Yourself,"Chance, James & the Contortions",
Control,Dub War,
Control,"Jackson, Janet",
Cookin',"Townshend, Pete",
Cool and Bored,Les Corps Mince de Franáoise,
Cool in the Pool,"Czukay, Holger",
Cool Jerk,Capitols,
Cop Shoot Cop,Spiritualized,
Copacabana,"Manilow, Barry",
Copper Kettle,"Baez, Joan",
Copperhead Road,"Earle, Steve",
Cops and Robbers,"Diddley, Bo",
Coquillages,"Faithfull, Marianne",
Corcovado,"Gilberto, Jo?o & Astrud &Stan Getz & Antonio Carlos Jobim",
Corgi Registered Friends,Half Man Half Biscuit,
Corner Store,"Richman, Jonathan & the Modern Lovers",
Cornerstore,"Richman, Jonathan",
Corporate Cannibal,"Jones, Grace",
Corpus Christi Carol,"Buckley, Jeff",
Cortez the Killer,"Young, Neil",
Could It Be Magic,"Summer, Donna",
Could Well Be In,Streets,
Country Bus,"Thackray, Jake",
Country Death Song,Violent Femmes,
Country Life,Watersons,
CountryMusicDisco45,"Nichols, Jeb Loy",
Courtship Dating,Crystal Castles,
Coventry Carol,"Prior, Maddy",
Cover of the Rolling Stone,Dr. Hook,
Coward of the County,"Rogers, Kenny",
"Cowboys are Frequently, Secretly Fond of Each Other","Nelson, Willie",
Cow's Placenta to Armageddon,Alice Donut,
Cracklin' Rosie,"Diamond, Neil",
Crazed Institution,Jethro Tull,
Crazy Horses,Osmonds,
Crazy in Love,BeyoncÇ ft. Jay Z,
Crazy Rhythms,Feelies,
Creep,Radiohead,
Creeping Death,Metallica,
Cricket Lovely Cricket,"Thomas, Jah",
"Crime in the City (Sixty to Zero, Pt 1)","Young, Neil",
Crimson and Clover,"James, Tommy & the Shondells",
Crippled With Nerves,Kilburn And The High Roads,
Cross My Heart,Exotics,
Crosscut Saw,"King, Albert",
Crossroads,"Russell, Calvin",
Crossroads,"Chapman, Tracy",
Crossword Puzzle,"Stone, Sly",
Crow Jane,"James, Skip",
Crown,Collective Soul,
