We're An American Band,Yo La Tengo
We're Going To Be Friends,White Stripes
We're Going To Make It,Little Milton
We're Gonna Hold On,"Burke, Solomon"
We're Stronger Than That,"Rigby, Amy"
Werewolf,CocoRosie
Werewolves of London,"Zevon, Warren"
West Indian Man,"Blades, Rub?n"
We've Gotta Get Out of This Place,Animals
We've Only Just Begun,Carpenters
What a Fool Believes,Doobie Brothers
What a Little Moonlight Can Do,"Holiday, Billie"
What a Wonderful World,"Armstrong, Louis"
What Can I Say After I Say I'm Sorry,"Washington, Dinah"
What Do I Get?,Buzzcocks
What Good Can Drinking Do,"Joplin, Janis"
What Have I Done to Deserve This?,Pet Shop Boys with Dusty Springfield
What I Go to School For,Busted
What I Like Most About You Is Your Girlfriend,Special AKA
What is Life,"Harrison, George"
What Makes a Man a Man,"Almond, Marc"
What More Can I Say?,Danger Mouse
What Sarah Said,Death Cab for Cutie
What the World is Waiting For,Stone Roses
What Up Dog?,Was (Was Not)
What'd I Say (Pts 1 & 2),"Charles, Ray"
Whatever's Written In Your Heart,"Rafferty, Gerry"
What's Going On,"Gaye, Marvin"
What's Good?,"Reed, Lou"
What's Happening Brother,"Gaye, Marvin"
What's Happening?!?!,Byrds
What's Hardcore?,K'Naan
What's He Building?,"Waits, Tom"
What's in the Headlines,"Covay, Don"
What's Love Got to Do With It,"Turner, Tina"
What's New,"Merrill, Helen"
What's That Smells Like Fish?,"Fuller, Blind Boy"
What's the Matter Here,"10,000 Maniacs"
What's the Matter With the Mill?,Memphis Minnie & Kansas Joe
When All is Said and Done,Abba
When All Is Said and Done,ABBA
When an Old Cricketer Leaves the Crease,"Harper, Roy"
"When Did You Stop Loving Me, When Did I Stop Loving You","Gaye, Marvin"
"When Did You Stop Loving Me, When Did I Stop Loving You","Gaye, Marvin"
"When Do I Get To Sing ""My Way""?",Sparks
When Doves Cry,Be Good Tanyas
When Fall Comes to New England,"Wheeler, Cheryl"
When I Get Low I Get High,"Fitzgerald, Ella"
When I Go Deaf,Low
When I Grow Up (To Be a Man),Beach Boys
When I Was on Horseback,Steeleye Span
When I'm Cleaning Windows,"Formby, George"
When It's Springtime in Alaska (It's 40 Below),"Cash, Johnny"
When People are Dead,Go-Betweens
When the Bridegroom Comes,"Sill, Judee"
When the Levee Breaks,Led Zeppelin
When the Roses Bloom Again,"Cantrell, Laura"
When the Sun Goes Down,Arctic Monkeys
When We WasFab,"Harrison, George"
When We Were Young,Whipping Boy
When You Walk in the Room,"DeShannon, Jackie"
When You Were Young (Lindbergh Palace remix),Killers
When Your Hair Has Turned to Silver,"Ammons, Gene"
Where Are We Going?,"Byrd, Donald"
Where Did Our Love Go,"Ross, Diana and the Supremes"
Where Did the Night Go,"Scott-Heron, Gil"
Where Did You Get That Hat?,"Holloway, Stanley"
Where Did You Sleep Last Night?,Leadbelly
Where Do I Begin?,Chemical Brothers f. Beth Orton
Where Do We Go Now But Nowhere,"Cave, Nick & the Bad Seeds"
Where Everybody Knows Your Name,"Portnoy, Gary"
Where Is My Mind?,Pixies
Where is the Love?,"Flack, Roberta and Donny Hathaway"
Where It's At,Beck
"Where Me Keys, Where Me Phone?",Mr. Zip
Where the Wild Roses Grow,"Minogue, Kylie & Nick Cave"
Where's Me Jumper?,Sultans of Ping FC
Where's Your Child,Bam Bam
Wherever I Lay My Hat (That's My Home),"Gaye, Marvin"
Wherever I May Roam,Metallica
While You Were Sleeping,"Perkins, Elvis"
Whine & Grine/Stand Down Margaret,Beat
Whip It,Devo
Whip You With a Strap,Ghostface Killah
Whip Your Booty,"Williams, Andre and Velvet Hammer"
Whiskey Lullaby,"Paisley, Brad & Alison Krauss"
Whiskey Lullaby,"Randall, Jon"
Whisky in the Jar,Thin Lizzy
Whisky Tango,"Piazolla, Astor"
Whispering Grass (Don't Tell the Trees),Inkspots
Whispering Grass (Don't Tell the Trees),"Davies, Windsor & Don Estelle"
White Car in Germany,Associates
White Christmas,"Redding, Otis"
White Cliffs of Dover,"Lynn, Vera"
White Dress,Fairport Convention
"White Heat, Red Hot",Judas Priest
White House Blues,"Poole, Charlie"
White Lines (Don't Do It),Grandmaster Flash
White Mice,Mo-Dettes
White Noise,Exitmusic
White Rabbit,Jefferson Airplane
White Rabbit,Damned
White Riot,Clash
White Socks Flip Flops,Super Furry Animals
Whitey on the Moon,"Heron, Gil Scott"
Who Is He (And What Is He to You)?,"Withers, Bill"
Who Knows Where the Time Goes,Fairport Convention
Who Knows Where the Time Goes?,"Denny, Sandy"
Who Loves the Sun,Velvet Underground
Who Needs Action When You Got Words,Plan B
Who Says a Funk Band Can't Play Rock?!,Funkadelic
Who the Fuck Are Arctic Monkeys,Arctic Monkeys
Who Will Buy,"Lucien, Jon"
Who Will the Next Fool Be,"Rich, Charlie"
Whoever You Are,Prefab Sprout
Whole Lotta Love,Led Zeppelin
Who's Afraid of the Big Bad Noise?,Age Of Chance
Who's Gonna Fill Those Shoes?,"Guy, Buddy"
Whos Gonna Take the Weight?,Gang Starr
Why,Byrds
Why,"Simon, Carly"
Why (The King of Love is Dead),"Simone, Nina"
Why Can't We Live Together,Thomas. Timmy
Why Do You Bob Your Hair Girls?,"Reed, Blind Alfred"
Why Write a Letter That You'll Never Send,Drones
Why'd Ya Do It?,"Faithfull, Marianne"
Wichita Lineman,"Campbell, Glen"
Wickerman,Pulp
